T,Rw,Tb3Ni_Ni1_Biso,Tb3Ni_Tb1_Biso,Tb3Ni_Tb2_Biso,Tb3Ni_a,Tb3Ni_b,Tb3Ni_c,Tb3Ni_delta2,Tb3Ni_scale,ordscale,parascale,xi
10,0.379,0.323,0.67,0.154,6.779,9.532,6.357,1.335,6.281,0.094,0.592,8.378
30,0.371,0.323,0.67,0.154,6.554,9.551,6.357,4.156,6.281,0.087,0.632,8.182
50,0.357,0.323,0.67,0.154,6.943,9.534,6.357,1.227,6.281,0.065,0.791,6.928
58,0.341,0.323,0.67,0.154,6.868,9.563,6.357,2.574,6.281,0.057,0.828,4.52
65,0.346,0.323,0.67,0.154,7.227,9.511,6.357,2.92,6.281,0.052,0.892,3.528
70,0.346,0.323,0.67,0.154,7.14,9.574,6.357,1.427,6.281,0.049,0.913,3.318
85,0.347,0.323,0.67,0.154,6.661,9.55,6.357,3.575,6.281,0.044,0.971,2.919
110,0.351,0.323,0.67,0.154,6.383,9.543,6.357,2.805,6.281,0.041,0.996,2.42
150,0.366,0.323,0.67,0.154,7.219,9.562,6.357,0.935,6.281,0.051,0.997,1.72
300,0.521,0.323,0.67,0.154,7.294,9.991,6.357,2.805,6.281,0.343,0.698,0.642
